Brent,S&P500,Dow Jones,Nasdaq100 
66.25,3257.85,28868.80,8872.22
68.60,3234.85,28634.88,8793.90
68.91,3246.28,28703.38,8848.51
68.27,3237.18,28583.68,8846.45
65.44,3253.05,28745.09,8912.37
65.37,3274.70,28956.90,8989.63
64.98,3265.35,28823.77,8966.64
64.20,3288.13,28907.05,9070.65
64.49,3283.15,28939.67,9033.42
64.00,3289.29,29030.22,9035.67
64.62,3316.81,29297.64,9125.00
64.85,3329.62,29348.10,9173.73
64.59,3320.79,29196.04,9166.63
63.21,3321.75,29186.27,9188.58
62.04,3325.54,29160.09,9216.98
60.69,3295.47,28989.73,9141.47
59.32,3243.63,28535.80,8952.18
59.51,3276.24,28722.85,9090.93
59.81,3273.40,28734.45,9101.61
58.29,3283.66,28859.44,9136.09
58.16,3225.52,28256.03,8991.51
54.45,3248.92,28399.81,9126.23
53.96,3297.59,28807.63,9334.05
55.28,3334.69,29290.85,9367.48
54.93,3345.78,29379.77,9445.92
54.47,3327.71,29102.51,9401.10
53.27,3352.09,29276.82,9516.84
54.01,3357.75,29276.34,9517.86
55.79,3379.45,29551.42,9613.20
56.34,3373.94,29423.31,9595.70
57.32,3380.16,29398.08,9623.58
57.75,3370.29,29232.19,9629.80
59.12,3386.15,29348.03,9718.73
59.31,3373.23,29219.98,9627.83
58.50,3337.75,28992.41,9446.69
56.30,3225.89,27960.80,9079.63
54.95,3128.21,27081.36,8834.87
53.43,3116.39,26957.59,8873.76
52.18,2978.76,25766.64,8436.67
50.52,2954.22,25409.36,8461.83
51.90,3090.23,26703.32,8877.98
51.86,3003.37,25917.41,8594.49
51.13,3130.12,27090.86,8949.28
49.99,3023.94,26121.28,8671.66
45.27,2972.37,25864.78,8530.34
34.36,2746.56,23851.02,7948.03
37.22,2882.23,25018.16,8372.26
35.79,2741.38,23553.22,8006.12
33.22,2480.64,21200.62,7263.65
33.85,2711.02,23185.62,7995.26
30.05,2386.13,20188.52,7020.38
28.73,2529.19,21237.38,7473.95
24.88,2398.10,19898.92,7175.18
28.47,2409.39,20087.19,7288.52
26.98,2304.92,19173.98,6994.29
27.03,2237.40,18591.93,7006.92
27.15,2447.33,20704.91,7553.83
27.39,2475.56,21200.55,7469.62
26.34,2630.07,22552.17,7897.13
24.93,2541.47,21636.78,7588.37
22.76,2626.65,22327.48,7889.01
22.74,2584.59,21917.16,7813.50
24.74,2470.50,20943.51,7486.29
29.94,2526.90,21413.44,7635.66
34.11,2488.65,21052.53,7528.11
33.05,2663.68,22679.99,8081.66
31.87,2659.41,22653.86,8049.31
32.84,2749.98,23433.57,8229.54
31.48,2789.82,23719.37,8238.53
29.60,2846.06,23949.76,8692.16
27.69,2783.36,23504.35,8591.96
27.82,2799.55,23537.68,8757.83
28.08,2874.56,24242.49,8832.41
19.33,2736.56,23018.88,8403.00
20.37,2799.31,23475.82,8664.63
21.33,2797.80,23515.26,8641.50
21.44,2836.74,23775.27,8786.60
19.99,2878.48,24133.78,8837.66
20.46,2863.39,24101.55,8677.60
22.54,2939.51,24633.86,8982.76
25.27,2912.43,24345.72,9000.51
27.20,2842.74,23749.76,8834.11
30.97,2868.44,23883.09,8930.62
29.72,2848.42,23664.64,8984.86
29.46,2881.19,23875.89,9101.88
30.97,2929.80,24331.32,9220.35
29.63,2930.32,24221.99,9298.92
29.98,2870.12,23764.78,9112.45
29.19,2820.00,23247.97,9000.08
31.13,2852.50,23625.34,9094.42
32.50,2863.70,23685.42,9152.64
34.81,2953.91,24597.37,9331.93
34.65,2922.94,24206.86,9298.54
35.75,2971.61,24575.90,9485.02
36.06,2948.51,24474.12,9377.99
35.13,2955.45,24465.16,9413.99
36.17,2991.77,24995.11,9389.98
34.74,3036.13,25548.27,9442.05
35.29,3029.73,25400.64,9416.71
35.33,3044.31,25383.11,9555.53
39.57,3080.82,25742.65,9657.31
39.79,3122.87,26269.89,9704.69
39.99,3112.35,26281.82,9629.66
42.30,3193.93,27110.98,9824.39
40.80,3232.39,27572.44,9901.52
41.18,3207.18,27272.30,9967.17
41.73,3190.14,26989.99,10094.26
38.55,3002.10,25128.17,9588.48
38.73,3041.31,25605.54,9663.78
39.72,3066.59,25763.16,9776.89
40.96,3124.74,26289.98,9949.37
40.71,3113.49,26119.61,9982.48
41.51,3115.34,26080.10,10012.05
42.19,3097.74,25871.46,10008.64
43.08,3117.86,26024.96,10130.33
42.63,3131.29,26156.10,10209.82
40.31,3050.33,25445.94,10002.70
41.05,3083.76,25745.60,10101.83
41.02,3009.05,25015.55,9849.36
41.71,3053.24,25595.80,9961.16
41.15,3100.29,25812.88,10156.85
42.03,3115.86,25734.97,10279.25
43.14,3130.01,25827.36,10341.89
43.10,3179.72,26287.03,10604.06
43.08,3145.32,25890.18,10524.01
43.29,3169.94,26067.28,10666.70
42.35,3152.05,25706.09,10754.59
43.24,3185.04,26075.30,10836.33
42.72,3155.22,26085.80,10602.21
42.90,3197.52,26642.59,10689.52
43.79,3226.56,26870.10,10701.68
43.37,3215.57,26734.71,10626.46
43.14,3224.73,26671.95,10645.22
43.28,3251.84,26680.87,10952.08
44.32,3257.30,26840.40,10833.07
44.29,3276.02,27005.84,10870.75
43.31,3235.66,26652.33,10580.59
43.34,3215.63,26469.89,10483.13
43.41,3239.41,26584.77,10674.38
43.22,3218.44,26379.28,10532.50
43.75,3258.44,26539.57,10662.98
42.94,3246.22,26313.65,10715.51
43.30,3271.12,26428.32,10905.88
44.15,3294.61,26664.40,11055.08
44.43,3306.51,26828.47,11096.54
45.17,3327.77,27201.52,11125.44
45.09,3349.16,27386.98,11267.08
44.40,3351.28,27433.48,11139.39
44.99,3360.47,27791.44,11085.17
44.50,3333.69,27686.91,10876.08
45.43,3380.35,27976.84,11157.72
44.96,3373.43,27896.72,11178.37
44.80,3372.85,27931.02,11164.45
45.37,3381.99,27844.91,11288.57
45.46,3389.78,27778.07,11399.03
45.37,3374.85,27692.88,11318.64
44.90,3385.51,27739.73,11477.05
44.35,3397.16,27930.33,11555.16
45.13,3431.28,28308.46,11626.17
45.86,3443.62,28248.44,11721.80
45.64,3478.73,28331.92,11971.94
45.09,3484.55,28492.27,11926.16
45.05,3508.01,28653.87,11995.86
45.28,3500.31,28430.05,12110.70
45.58,3526.65,28645.66,12292.86
44.43,3580.84,29100.50,12420.54
44.07,3455.06,28292.73,11771.37
42.66,3426.96,28133.31,11622.13
39.78,3331.84,27500.89,11068.26
40.79,3398.96,27940.47,11395.85
40.06,3339.19,27534.58,11154.12
39.83,3340.97,27665.64,11087.40
39.61,3383.54,27993.33,11277.76
40.53,3401.20,27995.60,11438.87
42.22,3385.49,28032.38,11247.60
43.30,3357.01,27901.98,11080.95
43.15,3319.47,27657.42,10936.98
41.44,3281.06,27147.70,10980.22
41.72,3315.57,27288.18,11186.37
41.77,3236.92,26763.13,10833.33
41.94,3246.59,26815.44,10896.47
41.92,3298.46,27173.96,11151.13
42.43,3351.60,27584.06,11364.45
41.03,3335.47,27452.66,11322.95
40.95,3363.00,27781.70,11418.06
40.93,3380.80,27816.90,11583.20
39.27,3348.44,27682.81,11255.69
41.29,3408.63,28148.64,11509.06
42.65,3360.95,27772.76,11291.27
41.99,3419.45,28303.46,11503.19
43.34,3446.83,28425.51,11550.94
42.85,3477.13,28586.90,11725.85
41.72,3534.22,28837.52,12088.11
42.45,3511.93,28679.81,12083.17
43.32,3488.67,28514.00,11985.36
43.16,3483.34,28494.20,11898.57
42.93,3483.81,28606.31,11852.17
42.62,3426.92,28195.42,11634.35
43.16,3443.12,28308.79,11677.84
41.73,3435.56,28210.82,11665.37
42.46,3453.49,28363.66,11662.91
41.77,3465.39,28335.57,11692.57
40.46,3400.97,27685.38,11504.52
41.20,3390.68,27463.19,11598.95
39.12,3271.03,26519.95,11142.76
37.65,3310.11,26659.11,11350.74
37.46,3269.96,26501.60,11052.95
38.97,3310.24,26925.05,11084.76
39.71,3369.16,27480.03,11279.91
41.23,3443.44,27847.66,11777.02
40.93,3510.45,28390.18,12078.07
39.45,3509.44,28323.40,12091.35
42.40,3550.50,29157.97,11830.38
43.61,3545.53,29420.92,11624.29
43.80,3572.66,29397.63,11892.93
43.53,3537.01,29080.17,11827.14
42.78,3585.15,29479.81,11937.84
43.82,3626.91,29950.44,12013.38
43.75,3609.53,29783.35,11977.49
44.34,3567.79,29438.42,11894.71
44.20,3581.87,29483.23,11985.43
