Brent,SandP,DAX,Nasdaq
66.25,3257.85,13385.93,8872.22
68.60,3234.85,13219.14,8793.90
68.91,3246.28,13126.99,8848.51
68.27,3237.18,13226.83,8846.45
65.44,3253.05,13320.18,8912.37
65.37,3274.70,13495.06,8989.63
64.98,3265.35,13483.31,8966.64
64.20,3288.13,13451.52,9070.65
64.49,3283.15,13456.49,9033.42
64.00,3289.29,13432.30,9035.67
64.62,3316.81,13429.43,9125.00
64.85,3329.62,13526.13,9173.73
64.59,3320.79,13555.87,9166.63
63.21,3321.75,13515.75,9188.58
62.04,3325.54,13388.42,9216.98
60.69,3295.47,13576.68,9141.47
59.32,3243.63,13204.77,8952.18
59.51,3276.24,13323.69,9090.93
59.81,3273.40,13345.00,9101.61
58.29,3283.66,13157.12,9136.09
58.16,3225.52,12981.97,8991.51
54.45,3248.92,13045.19,9126.23
53.96,3297.59,13281.74,9334.05
55.28,3334.69,13478.33,9367.48
54.93,3345.78,13574.82,9445.92
54.47,3327.71,13513.81,9401.10
53.27,3352.09,13494.03,9516.84
54.01,3357.75,13627.84,9517.86
55.79,3379.45,13749.78,9613.20
56.34,3373.94,13745.43,9595.70
57.32,3380.16,13744.21,9623.58
57.75,3370.29,13681.19,9629.80
59.12,3386.15,13789.00,9718.73
59.31,3373.23,13664.00,9627.83
58.50,3337.75,13579.33,9446.69
56.30,3225.89,13035.24,9079.63
54.95,3128.21,12790.49,8834.87
53.43,3116.39,12774.88,8873.76
52.18,2978.76,12367.46,8436.67
50.52,2954.22,11890.35,8461.83
51.90,3090.23,11857.87,8877.98
51.86,3003.37,11985.39,8594.49
51.13,3130.12,12127.69,8949.28
49.99,3023.94,11944.72,8671.66
45.27,2972.37,11541.87,8530.34
34.36,2746.56,10625.02,7948.03
37.22,2882.23,10475.49,8372.26
35.79,2741.38,10438.68,8006.12
33.22,2480.64,9161.13,7263.65
33.85,2711.02,9232.08,7995.26
30.05,2386.13,8742.25,7020.38
28.73,2529.19,8939.10,7473.95
24.88,2398.10,8441.71,7175.18
28.47,2409.39,8610.43,7288.52
26.98,2304.92,8928.95,6994.29
27.03,2237.40,8741.15,7006.92
27.15,2447.33,9700.57,7553.83
27.39,2475.56,9874.26,7469.62
26.34,2630.07,10000.96,7897.13
24.93,2541.47,9632.52,7588.37
22.76,2626.65,9815.97,7889.01
22.74,2584.59,9935.84,7813.50
24.74,2470.50,9544.75,7486.29
29.94,2526.90,9570.82,7635.66
34.11,2488.65,9525.77,7528.11
33.05,2663.68,10075.17,8081.66
31.87,2659.41,10356.70,8049.31
32.84,2749.98,10332.89,8229.54
31.48,2789.82,10564.74,8238.53
29.60,2846.06,10696.56,8692.16
27.69,2783.36,10279.76,8591.96
27.82,2799.55,10301.54,8757.83
28.08,2874.56,10625.78,8832.41
19.33,2736.56,10249.85,8403.00
20.37,2799.31,10415.03,8664.63
21.33,2797.80,10513.79,8641.50
21.44,2836.74,10336.09,8786.60
19.99,2878.48,10659.99,8837.66
20.46,2863.39,10795.63,8677.60
22.54,2939.51,11107.74,8982.76
25.27,2912.43,10861.64,9000.51
27.20,2842.74,10466.80,8834.11
30.97,2868.44,10729.46,8930.62
29.72,2848.42,10606.20,8984.86
29.46,2881.19,10759.27,9101.88
30.97,2929.80,10904.48,9220.35
29.63,2930.32,10824.99,9298.92
29.98,2870.12,10819.50,9112.45
29.19,2820.00,10542.66,9000.08
31.13,2852.50,10337.02,9094.42
32.50,2863.70,10465.17,9152.64
34.81,2953.91,11058.87,9331.93
34.65,2922.94,11075.29,9298.54
35.75,2971.61,11223.71,9485.02
36.06,2948.51,11065.93,9377.99
35.13,2955.45,11073.87,9413.99
36.17,2991.77,11504.65,9389.98
34.74,3036.13,11657.69,9442.05
35.29,3029.73,11781.13,9416.71
35.33,3044.31,11586.85,9555.53
39.57,3080.82,12021.28,9657.31
39.79,3122.87,12487.36,9704.69
39.99,3112.35,12430.56,9629.66
42.30,3193.93,12847.68,9824.39
40.80,3232.39,12819.59,9901.52
41.18,3207.18,12617.99,9967.17
41.73,3190.14,12530.16,10094.26
38.55,3002.10,11970.29,9588.48
38.73,3041.31,11949.28,9663.78
39.72,3066.59,11911.35,9776.89
40.96,3124.74,12315.66,9949.37
40.71,3113.49,12382.14,9982.48
41.51,3115.34,12281.53,10012.05
42.19,3097.74,12330.76,10008.64
43.08,3117.86,12262.97,10130.33
42.63,3131.29,12523.76,10209.82
40.31,3050.33,12093.94,10002.70
41.05,3083.76,12177.87,10101.83
41.02,3009.05,12089.39,9849.36
41.71,3053.24,12232.12,9961.16
41.15,3100.29,12310.93,10156.85
42.03,3115.86,12260.57,10279.25
43.14,3130.01,12608.46,10341.89
43.10,3179.72,12733.45,10604.06
43.08,3145.32,12616.80,10524.01
43.29,3169.94,12494.81,10666.70
42.35,3152.05,12489.46,10754.59
43.24,3185.04,12633.71,10836.33
42.72,3155.22,12799.97,10602.21
42.90,3197.52,12697.36,10689.52
43.79,3226.56,12930.98,10701.68
43.37,3215.57,12874.97,10626.46
43.14,3224.73,12919.61,10645.22
43.28,3251.84,13046.92,10952.08
44.32,3257.30,13171.83,10833.07
44.29,3276.02,13104.25,10870.75
43.31,3235.66,13103.39,10580.59
43.34,3215.63,12838.06,10483.13
43.41,3239.41,12838.66,10674.38
43.22,3218.44,12835.28,10532.50
43.75,3258.44,12822.26,10662.98
42.94,3246.22,12379.65,10715.51
43.30,3271.12,12313.36,10905.88
44.15,3294.61,12646.98,11055.08
44.43,3306.51,12600.87,11096.54
45.17,3327.77,12660.25,11125.44
45.09,3349.16,12591.68,11267.08
44.40,3351.28,12674.88,11139.39
44.99,3360.47,12687.53,11085.17
44.50,3333.69,12946.89,10876.08
45.43,3380.35,13058.63,11157.72
44.96,3373.43,12993.71,11178.37
44.80,3372.85,12901.34,11164.45
45.37,3381.99,12920.66,11288.57
45.46,3389.78,12881.76,11399.03
45.37,3374.85,12977.33,11318.64
44.90,3385.51,12830.00,11477.05
44.35,3397.16,12764.80,11555.16
45.13,3431.28,13066.54,11626.17
45.86,3443.62,13061.62,11721.80
45.64,3478.73,13190.15,11971.94
45.09,3484.55,13096.36,11926.16
45.05,3508.01,13033.20,11995.86
45.28,3500.31,12945.38,12110.70
45.58,3526.65,12974.25,12292.86
44.43,3580.84,13243.43,12420.54
44.07,3455.06,13057.77,11771.37
42.66,3426.96,12842.66,11622.13
39.78,3331.84,12968.33,11068.26
40.79,3398.96,13237.21,11395.85
40.06,3339.19,13208.89,11154.12
39.83,3340.97,13202.84,11087.40
39.61,3383.54,13193.66,11277.76
40.53,3401.20,13217.67,11438.87
42.22,3385.49,13255.37,11247.60
43.30,3357.01,13208.12,11080.95
43.15,3319.47,13116.25,10936.98
41.44,3281.06,12542.44,10980.22
