Brent,SandP,DowJones,DAX
66.25,3257.85,28868.80,13385.93
68.60,3234.85,28634.88,13219.14
68.91,3246.28,28703.38,13126.99
68.27,3237.18,28583.68,13226.83
65.44,3253.05,28745.09,13320.18
65.37,3274.70,28956.90,13495.06
64.98,3265.35,28823.77,13483.31
64.20,3288.13,28907.05,13451.52
64.49,3283.15,28939.67,13456.49
64.00,3289.29,29030.22,13432.30
64.62,3316.81,29297.64,13429.43
64.85,3329.62,29348.10,13526.13
64.59,3320.79,29196.04,13555.87
63.21,3321.75,29186.27,13515.75
62.04,3325.54,29160.09,13388.42
60.69,3295.47,28989.73,13576.68
59.32,3243.63,28535.80,13204.77
59.51,3276.24,28722.85,13323.69
59.81,3273.40,28734.45,13345.00
58.29,3283.66,28859.44,13157.12
58.16,3225.52,28256.03,12981.97
54.45,3248.92,28399.81,13045.19
53.96,3297.59,28807.63,13281.74
55.28,3334.69,29290.85,13478.33
54.93,3345.78,29379.77,13574.82
54.47,3327.71,29102.51,13513.81
53.27,3352.09,29276.82,13494.03
54.01,3357.75,29276.34,13627.84
55.79,3379.45,29551.42,13749.78
56.34,3373.94,29423.31,13745.43
57.32,3380.16,29398.08,13744.21
57.75,3370.29,29232.19,13681.19
59.12,3386.15,29348.03,13789.00
59.31,3373.23,29219.98,13664.00
58.50,3337.75,28992.41,13579.33
56.30,3225.89,27960.80,13035.24
54.95,3128.21,27081.36,12790.49
53.43,3116.39,26957.59,12774.88
52.18,2978.76,25766.64,12367.46
50.52,2954.22,25409.36,11890.35
51.90,3090.23,26703.32,11857.87
51.86,3003.37,25917.41,11985.39
51.13,3130.12,27090.86,12127.69
49.99,3023.94,26121.28,11944.72
45.27,2972.37,25864.78,11541.87
34.36,2746.56,23851.02,10625.02
37.22,2882.23,25018.16,10475.49
35.79,2741.38,23553.22,10438.68
33.22,2480.64,21200.62,9161.13
33.85,2711.02,23185.62,9232.08
30.05,2386.13,20188.52,8742.25
28.73,2529.19,21237.38,8939.10
24.88,2398.10,19898.92,8441.71
28.47,2409.39,20087.19,8610.43
26.98,2304.92,19173.98,8928.95
27.03,2237.40,18591.93,8741.15
27.15,2447.33,20704.91,9700.57
27.39,2475.56,21200.55,9874.26
26.34,2630.07,22552.17,10000.96
24.93,2541.47,21636.78,9632.52
22.76,2626.65,22327.48,9815.97
22.74,2584.59,21917.16,9935.84
24.74,2470.50,20943.51,9544.75
29.94,2526.90,21413.44,9570.82
34.11,2488.65,21052.53,9525.77
33.05,2663.68,22679.99,10075.17
31.87,2659.41,22653.86,10356.70
32.84,2749.98,23433.57,10332.89
31.48,2789.82,23719.37,10564.74
29.60,2846.06,23949.76,10696.56
27.69,2783.36,23504.35,10279.76
27.82,2799.55,23537.68,10301.54
28.08,2874.56,24242.49,10625.78
19.33,2736.56,23018.88,10249.85
20.37,2799.31,23475.82,10415.03
21.33,2797.80,23515.26,10513.79
21.44,2836.74,23775.27,10336.09
19.99,2878.48,24133.78,10659.99
20.46,2863.39,24101.55,10795.63
22.54,2939.51,24633.86,11107.74
25.27,2912.43,24345.72,10861.64
27.20,2842.74,23749.76,10466.80
30.97,2868.44,23883.09,10729.46
29.72,2848.42,23664.64,10606.20
29.46,2881.19,23875.89,10759.27
30.97,2929.80,24331.32,10904.48
29.63,2930.32,24221.99,10824.99
29.98,2870.12,23764.78,10819.50
29.19,2820.00,23247.97,10542.66
31.13,2852.50,23625.34,10337.02
32.50,2863.70,23685.42,10465.17
34.81,2953.91,24597.37,11058.87
34.65,2922.94,24206.86,11075.29
35.75,2971.61,24575.90,11223.71
36.06,2948.51,24474.12,11065.93
35.13,2955.45,24465.16,11073.87
36.17,2991.77,24995.11,11504.65
34.74,3036.13,25548.27,11657.69
35.29,3029.73,25400.64,11781.13
35.33,3044.31,25383.11,11586.85
39.57,3080.82,25742.65,12021.28
39.79,3122.87,26269.89,12487.36
39.99,3112.35,26281.82,12430.56
42.30,3193.93,27110.98,12847.68
40.80,3232.39,27572.44,12819.59
41.18,3207.18,27272.30,12617.99
41.73,3190.14,26989.99,12530.16
38.55,3002.10,25128.17,11970.29
38.73,3041.31,25605.54,11949.28
39.72,3066.59,25763.16,11911.35
40.96,3124.74,26289.98,12315.66
40.71,3113.49,26119.61,12382.14
41.51,3115.34,26080.10,12281.53
42.19,3097.74,25871.46,12330.76
43.08,3117.86,26024.96,12262.97
42.63,3131.29,26156.10,12523.76
40.31,3050.33,25445.94,12093.94
41.05,3083.76,25745.60,12177.87
41.02,3009.05,25015.55,12089.39
41.71,3053.24,25595.80,12232.12
41.15,3100.29,25812.88,12310.93
42.03,3115.86,25734.97,12260.57
43.14,3130.01,25827.36,12608.46
43.10,3179.72,26287.03,12733.45
43.08,3145.32,25890.18,12616.80
43.29,3169.94,26067.28,12494.81
42.35,3152.05,25706.09,12489.46
43.24,3185.04,26075.30,12633.71
42.72,3155.22,26085.80,12799.97
42.90,3197.52,26642.59,12697.36
43.79,3226.56,26870.10,12930.98
43.37,3215.57,26734.71,12874.97
43.14,3224.73,26671.95,12919.61
43.28,3251.84,26680.87,13046.92
44.32,3257.30,26840.40,13171.83
44.29,3276.02,27005.84,13104.25
43.31,3235.66,26652.33,13103.39
43.34,3215.63,26469.89,12838.06
43.41,3239.41,26584.77,12838.66
43.22,3218.44,26379.28,12835.28
43.75,3258.44,26539.57,12822.26
