Brent,DowJones,DAX,Nasdaq
66.25,28868.80,13385.93,8872.22
68.60,28634.88,13219.14,8793.90
68.91,28703.38,13126.99,8848.51
68.27,28583.68,13226.83,8846.45
65.44,28745.09,13320.18,8912.37
65.37,28956.90,13495.06,8989.63
64.98,28823.77,13483.31,8966.64
64.20,28907.05,13451.52,9070.65
64.49,28939.67,13456.49,9033.42
64.00,29030.22,13432.30,9035.67
64.62,29297.64,13429.43,9125.00
64.85,29348.10,13526.13,9173.73
64.59,29196.04,13555.87,9166.63
63.21,29186.27,13515.75,9188.58
62.04,29160.09,13388.42,9216.98
60.69,28989.73,13576.68,9141.47
59.32,28535.80,13204.77,8952.18
59.51,28722.85,13323.69,9090.93
59.81,28734.45,13345.00,9101.61
58.29,28859.44,13157.12,9136.09
58.16,28256.03,12981.97,8991.51
54.45,28399.81,13045.19,9126.23
53.96,28807.63,13281.74,9334.05
55.28,29290.85,13478.33,9367.48
54.93,29379.77,13574.82,9445.92
54.47,29102.51,13513.81,9401.10
53.27,29276.82,13494.03,9516.84
54.01,29276.34,13627.84,9517.86
55.79,29551.42,13749.78,9613.20
56.34,29423.31,13745.43,9595.70
57.32,29398.08,13744.21,9623.58
57.75,29232.19,13681.19,9629.80
59.12,29348.03,13789.00,9718.73
59.31,29219.98,13664.00,9627.83
58.50,28992.41,13579.33,9446.69
56.30,27960.80,13035.24,9079.63
54.95,27081.36,12790.49,8834.87
53.43,26957.59,12774.88,8873.76
52.18,25766.64,12367.46,8436.67
50.52,25409.36,11890.35,8461.83
51.90,26703.32,11857.87,8877.98
51.86,25917.41,11985.39,8594.49
51.13,27090.86,12127.69,8949.28
49.99,26121.28,11944.72,8671.66
45.27,25864.78,11541.87,8530.34
34.36,23851.02,10625.02,7948.03
37.22,25018.16,10475.49,8372.26
35.79,23553.22,10438.68,8006.12
33.22,21200.62,9161.13,7263.65
33.85,23185.62,9232.08,7995.26
30.05,20188.52,8742.25,7020.38
28.73,21237.38,8939.10,7473.95
24.88,19898.92,8441.71,7175.18
28.47,20087.19,8610.43,7288.52
26.98,19173.98,8928.95,6994.29
27.03,18591.93,8741.15,7006.92
27.15,20704.91,9700.57,7553.83
27.39,21200.55,9874.26,7469.62
26.34,22552.17,10000.96,7897.13
24.93,21636.78,9632.52,7588.37
22.76,22327.48,9815.97,7889.01
22.74,21917.16,9935.84,7813.50
24.74,20943.51,9544.75,7486.29
29.94,21413.44,9570.82,7635.66
34.11,21052.53,9525.77,7528.11
33.05,22679.99,10075.17,8081.66
31.87,22653.86,10356.70,8049.31
32.84,23433.57,10332.89,8229.54
31.48,23719.37,10564.74,8238.53
29.60,23949.76,10696.56,8692.16
27.69,23504.35,10279.76,8591.96
27.82,23537.68,10301.54,8757.83
28.08,24242.49,10625.78,8832.41
19.33,23018.88,10249.85,8403.00
20.37,23475.82,10415.03,8664.63
21.33,23515.26,10513.79,8641.50
21.44,23775.27,10336.09,8786.60
19.99,24133.78,10659.99,8837.66
20.46,24101.55,10795.63,8677.60
22.54,24633.86,11107.74,8982.76
25.27,24345.72,10861.64,9000.51
