WTI,SandP,DowJones,Nasdaq
61.18,3257.85,28868.80,8872.22
63.05,3234.85,28634.88,8793.90
63.27,3246.28,28703.38,8848.51
62.70,3237.18,28583.68,8846.45
59.61,3253.05,28745.09,8912.37
59.56,3274.70,28956.90,8989.63
59.04,3265.35,28823.77,8966.64
58.08,3288.13,28907.05,9070.65
58.23,3283.15,28939.67,9033.42
57.81,3289.29,29030.22,9035.67
58.52,3316.81,29297.64,9125.00
58.54,3329.62,29348.10,9173.73
58.34,3320.79,29196.04,9166.63
56.74,3321.75,29186.27,9188.58
55.59,3325.54,29160.09,9216.98
54.19,3295.47,28989.73,9141.47
53.14,3243.63,28535.80,8952.18
53.48,3276.24,28722.85,9090.93
53.33,3273.40,28734.45,9101.61
52.14,3283.66,28859.44,9136.09
51.56,3225.52,28256.03,8991.51
50.11,3248.92,28399.81,9126.23
49.61,3297.59,28807.63,9334.05
50.75,3334.69,29290.85,9367.48
50.95,3345.78,29379.77,9445.92
50.32,3327.71,29102.51,9401.10
49.57,3352.09,29276.82,9516.84
49.94,3357.75,29276.34,9517.86
51.17,3379.45,29551.42,9613.20
51.42,3373.94,29423.31,9595.70
52.05,3380.16,29398.08,9623.58
52.05,3370.29,29232.19,9629.80
53.29,3386.15,29348.03,9718.73
53.78,3373.23,29219.98,9627.83
53.38,3337.75,28992.41,9446.69
51.43,3225.89,27960.80,9079.63
49.90,3128.21,27081.36,8834.87
48.73,3116.39,26957.59,8873.76
47.09,2978.76,25766.64,8436.67
44.76,2954.22,25409.36,8461.83
46.75,3090.23,26703.32,8877.98
47.18,3003.37,25917.41,8594.49
46.78,3130.12,27090.86,8949.28
45.90,3023.94,26121.28,8671.66
41.28,2972.37,25864.78,8530.34
31.13,2746.56,23851.02,7948.03
34.36,2882.23,25018.16,8372.26
32.98,2741.38,23553.22,8006.12
31.50,2480.64,21200.62,7263.65
31.73,2711.02,23185.62,7995.26
28.70,2386.13,20188.52,7020.38
26.95,2529.19,21237.38,7473.95
20.37,2398.10,19898.92,7175.18
25.22,2409.39,20087.19,7288.52
22.43,2304.92,19173.98,6994.29
23.36,2237.40,18591.93,7006.92
24.01,2447.33,20704.91,7553.83
24.49,2475.56,21200.55,7469.62
22.60,2630.07,22552.17,7897.13
21.51,2541.47,21636.78,7588.37
20.09,2626.65,22327.48,7889.01
20.48,2584.59,21917.16,7813.50
20.31,2470.50,20943.51,7486.29
25.32,2526.90,21413.44,7635.66
28.34,2488.65,21052.53,7528.11
26.08,2663.68,22679.99,8081.66
23.63,2659.41,22653.86,8049.31
25.09,2749.98,23433.57,8229.54
22.76,2789.82,23719.37,8238.53
20.11,2846.06,23949.76,8692.16
19.87,2783.36,23504.35,8591.96
19.87,2799.55,23537.68,8757.83
18.27,2874.56,24242.49,8832.41
10.01,2736.56,23018.88,8403.00
13.78,2799.31,23475.82,8664.63
16.50,2797.80,23515.26,8641.50
16.94,2836.74,23775.27,8786.60
12.78,2878.48,24133.78,8837.66
12.34,2863.39,24101.55,8677.60
15.06,2939.51,24633.86,8982.76
18.84,2912.43,24345.72,9000.51
20.39,2842.74,23749.76,8834.11
24.56,2868.44,23883.09,8930.62
23.99,2848.42,23664.64,8984.86
23.55,2881.19,23875.89,9101.88
24.74,2929.80,24331.32,9220.35
24.14,2930.32,24221.99,9298.92
25.78,2870.12,23764.78,9112.45
25.29,2820.00,23247.97,9000.08
27.56,2852.50,23625.34,9094.42
29.43,2863.70,23685.42,9152.64
31.82,2953.91,24597.37,9331.93
32.50,2922.94,24206.86,9298.54
33.49,2971.61,24575.90,9485.02
33.92,2948.51,24474.12,9377.99
33.25,2955.45,24465.16,9413.99
