WTI,Dow Jones,DAX,Nasdaq100 
61.18,28868.80,13385.93,8872.22
63.05,28634.88,13219.14,8793.90
63.27,28703.38,13126.99,8848.51
62.70,28583.68,13226.83,8846.45
59.61,28745.09,13320.18,8912.37
59.56,28956.90,13495.06,8989.63
59.04,28823.77,13483.31,8966.64
58.08,28907.05,13451.52,9070.65
58.23,28939.67,13456.49,9033.42
57.81,29030.22,13432.30,9035.67
58.52,29297.64,13429.43,9125.00
58.54,29348.10,13526.13,9173.73
58.34,29196.04,13555.87,9166.63
56.74,29186.27,13515.75,9188.58
55.59,29160.09,13388.42,9216.98
54.19,28989.73,13576.68,9141.47
53.14,28535.80,13204.77,8952.18
53.48,28722.85,13323.69,9090.93
53.33,28734.45,13345.00,9101.61
52.14,28859.44,13157.12,9136.09
51.56,28256.03,12981.97,8991.51
50.11,28399.81,13045.19,9126.23
49.61,28807.63,13281.74,9334.05
50.75,29290.85,13478.33,9367.48
50.95,29379.77,13574.82,9445.92
50.32,29102.51,13513.81,9401.10
49.57,29276.82,13494.03,9516.84
49.94,29276.34,13627.84,9517.86
51.17,29551.42,13749.78,9613.20
51.42,29423.31,13745.43,9595.70
52.05,29398.08,13744.21,9623.58
52.05,29232.19,13681.19,9629.80
53.29,29348.03,13789.00,9718.73
53.78,29219.98,13664.00,9627.83
53.38,28992.41,13579.33,9446.69
51.43,27960.80,13035.24,9079.63
49.90,27081.36,12790.49,8834.87
48.73,26957.59,12774.88,8873.76
47.09,25766.64,12367.46,8436.67
44.76,25409.36,11890.35,8461.83
46.75,26703.32,11857.87,8877.98
47.18,25917.41,11985.39,8594.49
46.78,27090.86,12127.69,8949.28
45.90,26121.28,11944.72,8671.66
41.28,25864.78,11541.87,8530.34
31.13,23851.02,10625.02,7948.03
34.36,25018.16,10475.49,8372.26
32.98,23553.22,10438.68,8006.12
31.50,21200.62,9161.13,7263.65
31.73,23185.62,9232.08,7995.26
28.70,20188.52,8742.25,7020.38
26.95,21237.38,8939.10,7473.95
20.37,19898.92,8441.71,7175.18
25.22,20087.19,8610.43,7288.52
22.43,19173.98,8928.95,6994.29
23.36,18591.93,8741.15,7006.92
24.01,20704.91,9700.57,7553.83
24.49,21200.55,9874.26,7469.62
22.60,22552.17,10000.96,7897.13
21.51,21636.78,9632.52,7588.37
20.09,22327.48,9815.97,7889.01
20.48,21917.16,9935.84,7813.50
20.31,20943.51,9544.75,7486.29
25.32,21413.44,9570.82,7635.66
28.34,21052.53,9525.77,7528.11
26.08,22679.99,10075.17,8081.66
23.63,22653.86,10356.70,8049.31
25.09,23433.57,10332.89,8229.54
22.76,23719.37,10564.74,8238.53
20.11,23949.76,10696.56,8692.16
19.87,23504.35,10279.76,8591.96
19.87,23537.68,10301.54,8757.83
18.27,24242.49,10625.78,8832.41
10.01,23018.88,10249.85,8403.00
13.78,23475.82,10415.03,8664.63
16.50,23515.26,10513.79,8641.50
16.94,23775.27,10336.09,8786.60
12.78,24133.78,10659.99,8837.66
12.34,24101.55,10795.63,8677.60
15.06,24633.86,11107.74,8982.76
18.84,24345.72,10861.64,9000.51
20.39,23749.76,10466.80,8834.11
24.56,23883.09,10729.46,8930.62
23.99,23664.64,10606.20,8984.86
23.55,23875.89,10759.27,9101.88
24.74,24331.32,10904.48,9220.35
